N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"60,800",700,-1.14%,100,"3,629,628","5,969,783",50.72,"7,545,251",7.55,17.07,
2,LG에너지솔루션,"569,000","22,000",+4.02%,500,"1,331,460","234,000",5.31,"727,656",231.87,10.68,
3,SK하이닉스,"89,700",0,0.00%,"5,000","653,018","728,002",51.19,"1,158,275",7.04,16.84,
4,삼성바이오로직스,"797,000","4,000",-0.50%,"2,500","567,257","71,174",10.63,"35,926",108.20,8.21,
5,삼성SDI,"790,000","9,000",+1.15%,"5,000","543,240","68,765",48.84,"452,676",28.48,12.52,
6,LG화학,"745,000","19,000",+2.62%,"5,000","525,913","70,592",48.47,"309,296",26.22,18.47,
7,삼성전자우,"54,300",400,-0.73%,100,"446,827","822,887",71.97,"493,070",6.74,N/A,
8,현대차,"175,400","2,100",-1.18%,"5,000","371,026","211,532",30.26,"332,617",7.83,6.84,
9,NAVER,"212,000","2,500",-1.17%,100,"347,784","164,049",47.67,"512,277",37.35,106.72,
10,기아,"78,300",200,-0.25%,"5,000","317,400","405,363",36.56,"732,063",6.87,14.69,
11,POSCO홀딩스,"337,000","7,500",+2.28%,"5,000","285,005","84,571",49.94,"892,430",5.52,13.97,
12,카카오,"61,800","1,800",-2.83%,100,"275,328","445,514",26.20,"1,866,816",17.72,17.10,
13,셀트리온,"155,900","4,100",+2.70%,"1,000","219,538","140,819",20.52,"1,025,044",38.41,16.04,
14,KB금융,"51,200","1,000",+1.99%,"5,000","209,355","408,897",72.98,"862,829",4.53,9.80,
15,삼성물산,"111,700",300,-0.27%,100,"208,753","186,887",17.17,"162,335",11.80,5.40,
16,포스코케미칼,"266,500","32,000",+13.65%,500,"206,439","77,463",7.83,"3,907,127",128.37,7.92,
17,현대모비스,"218,500",500,-0.23%,"5,000","206,013","94,285",36.37,"114,369",8.63,6.87,
18,신한지주,"37,050",0,0.00%,"5,000","188,505","508,785",63.27,"1,074,963",4.13,8.80,
19,LG전자,"114,500",0,0.00%,"5,000","187,377","163,648",26.80,"558,944",13.10,6.32,
20,SK이노베이션,"177,800","9,800",+5.83%,"5,000","164,404","92,466",24.70,"1,399,489",7.53,1.91,
21,삼성생명,"67,600",300,+0.45%,500,"135,200","200,000",14.79,"98,951",19.07,4.01,
22,SK,"181,500","2,900",-1.57%,200,"134,581","74,149",22.88,"139,533",3.93,10.19,
23,LG,"82,900",500,-0.60%,"5,000","130,403","157,301",36.26,"89,108",6.04,12.36,
24,하나금융지주,"43,850",400,+0.92%,"5,000","129,754","295,903",71.89,"1,555,355",3.54,10.86,
25,카카오뱅크,"26,200",400,-1.50%,"5,000","124,903","476,731",13.81,"797,372",52.19,4.91,
26,KT&G,"87,100",100,+0.11%,"5,000","119,582","137,292",44.32,"153,971",10.29,10.74,
27,고려아연,"588,000","5,000",+0.86%,"5,000","116,795","19,863",22.65,"33,081",15.37,11.07,
28,한국전력,"17,950",70,-0.39%,"5,000","115,233","641,964",14.42,"704,085",-0.57,-7.99,
29,삼성전기,"151,900","1,000",-0.65%,"5,000","113,460","74,694",30.23,"261,752",12.02,13.76,
30,두산에너빌리티,"16,910",20,+0.12%,"5,000","107,938","638,308",12.85,"3,474,393",338.20,10.67,
31,HMM,"21,600",450,-2.04%,"5,000","105,633","489,039",10.74,"1,341,450",0.92,88.62,
32,LG생활건강,"672,000","1,000",+0.15%,"5,000","104,954","15,618",35.87,"48,929",50.33,4.41,
33,SK텔레콤,"47,500","1,250",+2.70%,100,"103,946","218,833",42.80,"922,598",11.00,13.63,
34,삼성화재,"215,500",0,0.00%,500,"102,093","47,375",51.50,"35,845",9.41,7.09,
35,삼성에스디에스,"123,800","1,600",-1.28%,500,"95,794","77,378",13.89,"48,860",9.99,8.80,
36,S-Oil,"84,700","1,500",+1.80%,"2,500","95,358","112,583",80.16,"217,474",4.56,21.76,
37,엔씨소프트,"420,500","14,000",-3.22%,500,"92,317","21,954",45.11,"98,812",15.62,12.62,
38,현대중공업,"100,900","1,200",-1.18%,"5,000","89,572","88,773",6.35,"237,725",-12.61,-14.87,
39,대한항공,"23,550",150,-0.63%,"5,000","86,716","368,221",15.54,"867,777",4.69,11.60,
40,우리금융지주,"11,830",140,+1.20%,"5,000","86,130","728,061",40.46,"1,359,715",2.82,10.59,
41,크래프톤,"170,000","3,500",-2.02%,100,"83,703","49,237",30.16,"104,997",12.41,17.86,
42,카카오페이,"62,100",900,-1.43%,500,"83,016","133,681",43.29,"298,345",-313.64,-2.45,
43,아모레퍼시픽,"140,600","3,400",-2.36%,500,"82,241","58,493",25.65,"203,537",142.02,4.20,
44,기업은행,"10,170",60,-0.59%,"5,000","81,098","797,426",13.81,"536,377",3.10,9.21,
45,KT,"30,700",200,+0.66%,"5,000","80,161","261,112",42.93,"971,917",5.62,9.36,
46,롯데케미칼,"186,700","3,300",+1.80%,"5,000","79,862","42,775",24.47,"80,973",30.53,9.87,
47,한화솔루션,"41,600",0,0.00%,"5,000","79,572","191,278",25.82,0,27.37,8.79,
48,하이브,"189,000","2,800",-1.46%,500,"78,158","41,353",14.91,"267,792",28.57,6.83,
49,메리츠금융지주,"42,100",700,+1.69%,500,"73,357","174,245",12.86,"371,082",5.10,22.33,
50,LG이노텍,"280,500","1,000",-0.36%,"5,000","66,386","23,667",23.26,"143,688",6.78,25.85,
1,삼성전자,"60,800",700,-1.14%,100,"3,629,628","5,969,783",50.72,"7,545,251",7.55,17.07,
2,LG에너지솔루션,"569,000","22,000",+4.02%,500,"1,331,460","234,000",5.31,"727,656",231.87,10.68,
3,SK하이닉스,"89,700",0,0.00%,"5,000","653,018","728,002",51.19,"1,158,275",7.04,16.84,
4,삼성바이오로직스,"797,000","4,000",-0.50%,"2,500","567,257","71,174",10.63,"35,926",108.20,8.21,
5,삼성SDI,"790,000","9,000",+1.15%,"5,000","543,240","68,765",48.84,"452,676",28.48,12.52,
6,LG화학,"745,000","19,000",+2.62%,"5,000","525,913","70,592",48.47,"309,296",26.22,18.47,
7,삼성전자우,"54,300",400,-0.73%,100,"446,827","822,887",71.97,"493,070",6.74,N/A,
8,현대차,"175,400","2,100",-1.18%,"5,000","371,026","211,532",30.26,"332,617",7.83,6.84,
9,NAVER,"212,000","2,500",-1.17%,100,"347,784","164,049",47.67,"512,277",37.35,106.72,
10,기아,"78,300",200,-0.25%,"5,000","317,400","405,363",36.56,"732,063",6.87,14.69,
11,POSCO홀딩스,"337,000","7,500",+2.28%,"5,000","285,005","84,571",49.94,"892,430",5.52,13.97,
12,카카오,"61,800","1,800",-2.83%,100,"275,328","445,514",26.20,"1,866,816",17.72,17.10,
13,셀트리온,"155,900","4,100",+2.70%,"1,000","219,538","140,819",20.52,"1,025,044",38.41,16.04,
14,KB금융,"51,200","1,000",+1.99%,"5,000","209,355","408,897",72.98,"862,829",4.53,9.80,
15,삼성물산,"111,700",300,-0.27%,100,"208,753","186,887",17.17,"162,335",11.80,5.40,
16,포스코케미칼,"266,500","32,000",+13.65%,500,"206,439","77,463",7.83,"3,907,127",128.37,7.92,
17,현대모비스,"218,500",500,-0.23%,"5,000","206,013","94,285",36.37,"114,369",8.63,6.87,
18,신한지주,"37,050",0,0.00%,"5,000","188,505","508,785",63.27,"1,074,963",4.13,8.80,
19,LG전자,"114,500",0,0.00%,"5,000","187,377","163,648",26.80,"558,944",13.10,6.32,
20,SK이노베이션,"177,800","9,800",+5.83%,"5,000","164,404","92,466",24.70,"1,399,489",7.53,1.91,
21,삼성생명,"67,600",300,+0.45%,500,"135,200","200,000",14.79,"98,951",19.07,4.01,
22,SK,"181,500","2,900",-1.57%,200,"134,581","74,149",22.88,"139,533",3.93,10.19,
23,LG,"82,900",500,-0.60%,"5,000","130,403","157,301",36.26,"89,108",6.04,12.36,
24,하나금융지주,"43,850",400,+0.92%,"5,000","129,754","295,903",71.89,"1,555,355",3.54,10.86,
25,카카오뱅크,"26,200",400,-1.50%,"5,000","124,903","476,731",13.81,"797,372",52.19,4.91,
26,KT&G,"87,100",100,+0.11%,"5,000","119,582","137,292",44.32,"153,971",10.29,10.74,
27,고려아연,"588,000","5,000",+0.86%,"5,000","116,795","19,863",22.65,"33,081",15.37,11.07,
28,한국전력,"17,950",70,-0.39%,"5,000","115,233","641,964",14.42,"704,085",-0.57,-7.99,
29,삼성전기,"151,900","1,000",-0.65%,"5,000","113,460","74,694",30.23,"261,752",12.02,13.76,
30,두산에너빌리티,"16,910",20,+0.12%,"5,000","107,938","638,308",12.85,"3,474,393",338.20,10.67,
31,HMM,"21,600",450,-2.04%,"5,000","105,633","489,039",10.74,"1,341,450",0.92,88.62,
32,LG생활건강,"672,000","1,000",+0.15%,"5,000","104,954","15,618",35.87,"48,929",50.33,4.41,
33,SK텔레콤,"47,500","1,250",+2.70%,100,"103,946","218,833",42.80,"922,598",11.00,13.63,
34,삼성화재,"215,500",0,0.00%,500,"102,093","47,375",51.50,"35,845",9.41,7.09,
35,삼성에스디에스,"123,800","1,600",-1.28%,500,"95,794","77,378",13.89,"48,860",9.99,8.80,
36,S-Oil,"84,700","1,500",+1.80%,"2,500","95,358","112,583",80.16,"217,474",4.56,21.76,
37,엔씨소프트,"420,500","14,000",-3.22%,500,"92,317","21,954",45.11,"98,812",15.62,12.62,
38,현대중공업,"100,900","1,200",-1.18%,"5,000","89,572","88,773",6.35,"237,725",-12.61,-14.87,
39,대한항공,"23,550",150,-0.63%,"5,000","86,716","368,221",15.54,"867,777",4.69,11.60,
40,우리금융지주,"11,830",140,+1.20%,"5,000","86,130","728,061",40.46,"1,359,715",2.82,10.59,
41,크래프톤,"170,000","3,500",-2.02%,100,"83,703","49,237",30.16,"104,997",12.41,17.86,
42,카카오페이,"62,100",900,-1.43%,500,"83,016","133,681",43.29,"298,345",-313.64,-2.45,
43,아모레퍼시픽,"140,600","3,400",-2.36%,500,"82,241","58,493",25.65,"203,537",142.02,4.20,
44,기업은행,"10,170",60,-0.59%,"5,000","81,098","797,426",13.81,"536,377",3.10,9.21,
45,KT,"30,700",200,+0.66%,"5,000","80,161","261,112",42.93,"971,917",5.62,9.36,
46,롯데케미칼,"186,700","3,300",+1.80%,"5,000","79,862","42,775",24.47,"80,973",30.53,9.87,
47,한화솔루션,"41,600",0,0.00%,"5,000","79,572","191,278",25.82,0,27.37,8.79,
48,하이브,"189,000","2,800",-1.46%,500,"78,158","41,353",14.91,"267,792",28.57,6.83,
49,메리츠금융지주,"42,100",700,+1.69%,500,"73,357","174,245",12.86,"371,082",5.10,22.33,
50,LG이노텍,"280,500","1,000",-0.36%,"5,000","66,386","23,667",23.26,"143,688",6.78,25.85,
